"No.","Time","Source","Destination","Protocol","Length","Info"
"83295","269.762289000","fe80::e0f1:b8bd:8c88:b65f","ff02::1:3","LLMNR","89","Standard query 0xcb28  A NPIC93AE3"
"83296","269.762290000","140.138.149.173","224.0.0.252","LLMNR","69","Standard query 0xcb28  A NPIC93AE3"
"83297","269.763267000","fe80::e0f1:b8bd:8c88:b65f","ff02::1:3","LLMNR","89","Standard query 0x22d7  AAAA NPIC93AE3"
"83358","269.877989000","140.138.148.138","140.138.2.109","DNS","102","Standard query 0xb02c  A luf42b58h44dqprn10fxivexm29luhtatc19mv.com"
"83374","270.011186000","fe80::a9c9:878b:d4a7:e6d5","ff02::1:3","LLMNR","84","Standard query 0x3369  A wpad"
"83375","270.011188000","140.138.148.128","224.0.0.252","LLMNR","64","Standard query 0x3369  A wpad"
"83388","270.080215000","140.138.2.109","140.138.148.138","DNS","175","Standard query response 0xb02c No such name"
"83390","270.110814000","fe80::a9c9:878b:d4a7:e6d5","ff02::1:3","LLMNR","84","Standard query 0x3369  A wpad"
"83391","270.110816000","140.138.148.128","224.0.0.252","LLMNR","64","Standard query 0x3369  A wpad"
"83401","270.170420000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x365b  A wpad"
"83402","270.170423000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x365b  A wpad"
"83440","270.277816000","fe80::65db:ed03:ae3d:2351","ff02::1:3","LLMNR","84","Standard query 0x365b  A wpad"
"83441","270.277818000","140.138.148.78","224.0.0.252","LLMNR","64","Standard query 0x365b  A wpad"
"83491","270.554262000","fe80::298d:a209:457a:cf6c","ff02::1:3","LLMNR","84","Standard query 0xdc75  A wpad"
"83492","270.554264000","140.138.148.90","224.0.0.252","LLMNR","64","Standard query 0xdc75  A wpad"
"83514","270.653638000","fe80::298d:a209:457a:cf6c","ff02::1:3","LLMNR","84","Standard query 0xdc75  A wpad"
"83515","270.653641000","140.138.148.90","224.0.0.252","LLMNR","64","Standard query 0xdc75  A wpad"
"83674","271.335166000","fe80::38f8:e37d:6533:4c53","ff02::1:3","LLMNR","84","Standard query 0x965b  A wpad"
"83675","271.335170000","140.138.148.98","224.0.0.252","LLMNR","64","Standard query 0x965b  A wpad"
"83701","271.428651000","fe80::41bb:434b:de32:e031","ff02::1:3","LLMNR","84","Standard query 0x3ebf  A wpad"
"83702","271.429012000","140.138.149.145","224.0.0.252","LLMNR","64","Standard query 0x3ebf  A wpad"
"83704","271.439344000","fe80::38f8:e37d:6533:4c53","ff02::1:3","LLMNR","84","Standard query 0x965b  A wpad"
"83705","271.439345000","140.138.148.98","224.0.0.252","LLMNR","64","Standard query 0x965b  A wpad"
"83755","271.533550000","fe80::41bb:434b:de32:e031","ff02::1:3","LLMNR","84","Standard query 0x3ebf  A wpad"
"83756","271.533553000","140.138.149.145","224.0.0.252","LLMNR","64","Standard query 0x3ebf  A wpad"
"83768","271.581103000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x7a8a  A wpad"
"83769","271.581104000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x7a8a  A wpad"
"83803","271.632765000","140.138.148.138","140.138.2.109","DNS","102","Standard query 0x99b7  A gqp32czkym19p52m19gycynrcsctb58b48l48jq.ru"
"83813","271.680931000","fe80::701e:bf7f:12b3:5059","ff02::1:3","LLMNR","84","Standard query 0x7a8a  A wpad"
"83814","271.680932000","140.138.148.202","224.0.0.252","LLMNR","64","Standard query 0x7a8a  A wpad"
"83840","271.843883000","140.138.148.134","224.0.0.251","MDNS","81","Standard query 0x0000  PTR _sane-port._tcp.local, ""QM"" question"
"83844","271.860458000","140.138.2.109","140.138.148.138","DNS","163","Standard query response 0x99b7 No such name"
"83960","272.636134000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x07d9  A wpad"
"83961","272.636135000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x07d9  A wpad"
"83980","272.735021000","fe80::cb2:353f:d47e:9c2d","ff02::1:3","LLMNR","84","Standard query 0x07d9  A wpad"
"83981","272.735023000","140.138.149.74","224.0.0.252","LLMNR","64","Standard query 0x07d9  A wpad"
"84020","273.125761000","140.138.148.12","224.0.0.252","LLMNR","64","Standard query 0xf19e  A wpad"
"84029","273.225267000","140.138.148.12","224.0.0.252","LLMNR","64","Standard query 0xf19e  A wpad"
"84034","273.291156000","fe80::225:90ff:fedd:e6d4","ff02::fb","MDNS","101","Standard query 0x0000  PTR _sane-port._tcp.local, ""QM"" question"
"84055","273.363173000","140.138.148.138","140.138.2.109","DNS","100","Standard query 0x8418  A n40dxguc29nynwfsawowismvivh44ksltd40.com"
"84112","273.509854000","140.138.2.109","140.138.148.138","DNS","173","Standard query response 0x8418 No such name"
